file	line	tag
frontend/src/pages/notifications/NotificationsPage.tsx	50	ContentToolbar
frontend/src/pages/notifications/NotificationsPage.tsx	51	button
frontend/src/pages/notifications/NotificationsPage.tsx	65	button
frontend/src/pages/notifications/NotificationsPage.tsx	66	button
frontend/src/pages/notifications/NotificationsPage.tsx	98	button
frontend/src/pages/notifications/NotificationsPage.tsx	105	DataTable
frontend/src/pages/orders/OrdersFilterBar.tsx	40	select
frontend/src/pages/orders/OrdersFilterBar.tsx	51	button
frontend/src/pages/orders/OrdersFormModal.tsx	85	select
frontend/src/pages/orders/OrdersFormModal.tsx	93	textarea
frontend/src/pages/orders/OrdersFormModal.tsx	96	button
frontend/src/pages/orders/OrdersFormModal.tsx	99	button
frontend/src/pages/orders/OrdersPage.tsx	48	button
frontend/src/pages/orders/OrdersPage.tsx	62	PageLayout
frontend/src/pages/orders/OrdersPage.tsx	66	button
frontend/src/pages/orders/OrdersPage.tsx	76	button
frontend/src/pages/orders/OrdersPage.tsx	91	ContentToolbar
frontend/src/pages/orders/OrdersTable.tsx	139	button
frontend/src/pages/orders/OrdersTable.tsx	143	button
frontend/src/pages/orders/OrdersTable.tsx	152	button
frontend/src/pages/orders/OrdersTable.tsx	161	button
frontend/src/pages/orders/OrdersTable.tsx	171	button
frontend/src/pages/orders/OrdersTable.tsx	181	button
frontend/src/pages/orders/OrdersTable.tsx	184	button
frontend/src/pages/orders/OrdersTable.tsx	187	button
frontend/src/pages/orders/OrdersTable.tsx	197	DataTable
frontend/src/pages/products/ProductEditPage.tsx	175	button
frontend/src/pages/products/ProductEditPage.tsx	183	button
frontend/src/pages/products/ProductEditPage.tsx	196	PageLayout
frontend/src/pages/products/ProductEditPage.tsx	200	ContentToolbar
frontend/src/pages/products/ProductEditPage.tsx	230	select
frontend/src/pages/products/ProductEditPage.tsx	237	select
frontend/src/pages/products/ProductEditPage.tsx	254	select
